idn,author,gnd_modified
1077366124,"Rabe, Gerald",unknown
976752034,"Leeuwen, Joke van",(DE-588)11946182X
979692318,"Molica, Fernando",(DE-588)132003856
981281915,"Eidam, Gerd",(DE-588)120466821
993625975,"Elhardt, Rudolf",(DE-588)114175209
971329133,"Busche, Jürgen",(DE-588)12000478X
989538516,"Gilcher-Holtey, Ingrid",(DE-588)11100618X
973121505,"Kraushaar, Wolfgang",(DE-588)120283344
974317403,"Vesper, Bernward",(DE-588)118626728
1178616673,"Sander, Alexander",unknown
1197536507,"Herrmann, Hans Peter",(DE-588)12180741X
1204825955,"Herrmann, Hans Peter",(DE-588)12180741X
973195568,"Kuhn, Axel",(DE-588)121212831
118328098X,"Dittmer, Lena",unknown
97341667X,"Schneider, Peter",(DE-588)118758675
973078715,"Eichler, Antje",(DE-588)129828629
974876607,"Görke, Daniela",(DE-588)130310212
975320653,"Kühn, Andreas",(DE-588)130481971
973457538,"Kamya, Julienne",unknown
971348707,"Seyfried, Gerhard",(DE-588)115834168
973940352,"Gilcher-Holtey, Ingrid",(DE-588)11100618X
1191415317,"Turner, Lowell",unknown
967745837,"Bichelberger, Roger",(DE-588)118939149
971799105,"Kittel, Manfred",(DE-588)131995596
971689474,"Marcuse, Herbert",(DE-588)118577638
96771544X,"Jin, Ha",(DE-588)122370228
967172519,"Rudelius, Wolfgang",(DE-588)124805132
965718808,"Busche, Jürgen",(DE-588)12000478X
969209703,"Verheyen, Nina",(DE-588)128462582
1192019202,"Verheyen, Nina",(DE-588)128462582
967554195,"Carini, Marco",(DE-588)124212042
966489470,"Nooteboom, Cees",(DE-588)119049422
968793916,"Fajardie, Frédéric H.",(DE-588)119349299
964595605,"Buchrucker, Armin-Ernst",(DE-588)117733369
1177618699,"Zimmermann, Lutz",unknown
1074641752,"Benöhr, David",unknown
965205509,"Wesel, Uwe",(DE-588)11569689X
963848518,"Fahlenbrach, Kathrin",(DE-588)123577993
961416467,"Renner, Jens",(DE-588)123397693
1074567587,"Herzog, Benno",(DE-588)116678939X
1187050741,"König, Hans-Dieter",unknown
961983507,"Lommel, Michael",(DE-588)12305415X
962178918,"Gilcher-Holtey, Ingrid",(DE-588)11100618X
960950524,"Kurz, Jan",(DE-588)113955030
961476265,"Kraushaar, Wolfgang",(DE-588)120283344
960364544,"Komfort-Hein, Susanne",(DE-588)172947383
963497936,"Heider, Ulrike",(DE-588)1046509918
961819642,"Langguth, Gerd",(DE-588)120502178
962894206,"Lodge, David",(DE-588)118915185
961127708,"Tolomelli, Marica",(DE-588)1044809159
1304554619,"Weiss, János",unknown
95901425X,"Reimer, Uwe",(DE-588)120942089
1008871001,"Buchrucker, Armin-Ernst",(DE-588)117733369
960392025,"Eberhardt-Köster, Thomas",(DE-588)122564995
959007652,"Konsalik, Heinz G.",(DE-588)11856515X
965048853,"Konsalik, Heinz G.",(DE-588)11856515X
1192187539,"Geiling, Heiko",unknown
970746210,"Weiss, János",(DE-588)140350950
95614117X,"Delius, Friedrich Christian",(DE-588)118924389
956428479,"Dickel, Hans",(DE-588)120786699
1212199472,"Dickel, Hans",(DE-588)120786699
957146884,"Fariborz, Arian",(DE-588)121285650
956400035,"Rouaud, Jean",(DE-588)115686983
960954821,"Kohser-Spohn, Christiane",(DE-588)122732960
954927834,"Huang, Jianli",(DE-588)1158312598
954488563,"Agnoli, Johannes",(DE-588)119241323
953234355,"Jaeggi, Urs",(DE-588)119011905
954364627,"Fels, Gerhard",(DE-588)121528332
954690133,"Konsalik, Heinz G.",(DE-588)11856515X
95285726X,"Uesseler, Rolf",(DE-588)109144465
956824412,"Spindler, Wilhelm Henning",unknown
952127016,"Ebner, Paulus",(DE-588)120143526
953556751,"Timm, Uwe",(DE-588)118839276
1192025571,"Mattes, Peter",(DE-588)1214467822
1191650294,"Mattes, Peter",(DE-588)1214467822
954211669,"Jansa, Axel",(DE-588)120360896
953388204,"Ali, Tariq",(DE-588)120088800
953759571,"Kimmel, Michael",unknown
