idn,titel,author,rela,gnd
1328388816,Die 68er-Bewegung. Ein Wegbereiter für den Linksterrorismus der RAF?,"Heinen, Deborah",Verfasser,unknown
1125230770,Die Audimaxbesetzung im Rahmen von unibrennt,"Kumpfmüller, Valentina",Verfasser,unknown
1131377974,"Die Erfindung von ""1968""","Stallmann, Martin",Verfasser,(DE-588)1135691819; https://d-nb.info/gnd/1135691819; (DE-101)1135691819
1257878107,Die #unibrennt-Bewegung. Diffusion einer Protestwelle in Wien und Augsburg,"Höckesfeld, Corinna",Verfasser,unknown
119227895X,"Erinnern, Vergessen, Verdrängen - die Studentenbewegung des 19. April 1960 im public memory","Claus-Kim, Daniela",Verfasser,(DE-588)1192338464; https://d-nb.info/gnd/1192338464; (DE-101)1192338464
1131643399,Rebellion unter Laubenbögen,unknown,unknown,unknown
1120716519,Schahbesuch 1967,"Michels, Eckard",Verfasser,(DE-588)120933284; https://d-nb.info/gnd/120933284; (DE-101)120933284
1126117048,Schahbesuch 1967,"Michels, Eckard",Verfasser,(DE-588)120933284; https://d-nb.info/gnd/120933284; (DE-101)120933284
1150263296,Schahbesuch 1967,"Michels, Eckard",Verfasser,(DE-588)120933284; https://d-nb.info/gnd/120933284; (DE-101)120933284
1234397668,Studentenbewegung im Spiegel des Merve-Verlags. Eine kulturwissenschaftliche Reminiszenz,"Schuller, Marianne",Verfasser,unknown
