idn,author,Geburtsdatum,Sterbedatum,Geburtsort,Sterbeort,Beruf oder Beschäftigung,gnd_modified
1290272727,"Schenck, Guntram von",1942-01-12,,Mainz,,Historiker; Politiker; Diplomat,101540457X
1009851918,"Kittel, Manfred",1962,,Großhaslach,,Historiker; Politologe,131995596
1011630931,"Brentzel, Marianne",1943,,Dissen am Teutoburger Wald,,Schriftstellerin; Politologin; Pädagogin,11553301X
1011688948,"Foltin, Robert",1957,,Salzburg,,Redakteur; Autor; Linguist,118065181
1037923030,"Plessen, Elisabeth",1944-03-15,,Neustadt in Holstein,,Schriftstellerin; Drehbuchautorin; Übersetzerin,119137542
100230556X,"Plessen, Elisabeth",1944-03-15,,Neustadt in Holstein,,Schriftstellerin; Drehbuchautorin; Übersetzerin,119137542
1006541047,"Meschkat, Klaus",1935,,Berlin,,Soziologe; Hochschullehrer,106014714
1191522717,"Keupp, Heiner",1943-06-16,,Kulmbach,,Psychologe; Hochschullehrer; Soziologe,unknown
1005444560,"Aly, Götz",1947-05-03,,Heidelberg,,Historiker; Politologe; Journalist; Hochschullehrer,115766065
998414328,"Anam, Tahmima",1975,,Dhaka,,Schriftstellerin,140902597
1192185099,"Bavaj, Riccardo",1976,,Aachen,,Historiker; Autor,128368926
1125455454,"Deißler, Hans Herbert",1915-03-20,1994-03-04,Freiburg im Breisgau,,Pädagoge,unknown
1190993406,"Tomić, Đorđe",1980,,Novi Sad,,Historiker; Übersetzer,1069006785
99174604X,"Aly, Götz",1947-05-03,,Heidelberg,,Historiker; Politologe; Journalist; Hochschullehrer,115766065
1258387549,"Aly, Götz",1947-05-03,,Heidelberg,,Historiker; Politologe; Journalist; Hochschullehrer,115766065
1197536523,"Herrmann, Hans Peter",1929-04-21,,Weimar,,Philologe,12180741X
1204826137,"Herrmann, Hans Peter",1929-04-21,,Weimar,,Philologe,12180741X
987803271,"Butollo, Florian",1976,,München,,Soziologe; Politologe,1022444468
99074924X,"Witkowski, Mareike",1977,,Peine,,Historikerin; Lektorin <Hochschule>,133657035
